id,title,season,episode,air_date,subject,colors,img_src,youtube_src,notes
1,A Walk in the Woods,1,1,1983-01-11,"Bushes, Deciduous, Grass, River, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting282.png,https://www.youtube.com/embed/oh5p5f5_-7A,
2,Mt. McKinley,1,2,1983-01-11,"Cabin, Clouds, Conifer, Mountain, Snow, Snowy_Mountain, Tree, Trees, Winter","Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting283.png,https://www.youtube.com/embed/RInDWhYceLU,
3,Ebony Sunset,1,3,1983-01-18,"Cabin, Conifer, Fence, Mountain, Mountains, Structure, Sun, Tree, Trees, Winter","Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting284.png,https://www.youtube.com/embed/UOziR7PoVco,
4,Winter Mist,1,4,1983-01-25,"Bushes, Clouds, Conifer, Lake, Mountain, Snowy_Mountain, Tree, Trees","Prussian Blue, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting285.png,https://www.youtube.com/embed/0pwoixRikn4,
5,Quiet Stream,1,5,1983-02-01,"Deciduous, River, Rocks, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting286.png,https://www.youtube.com/embed/DFSIQNjKRfk,
6,Winter Moon,1,6,1983-02-08,"Cabin, Conifer, Lake, Moon, Mountain, Mountains, Night, Snow, Snowy_Mountain, Structure, Tree, Trees, Winter","Black Gesso, Prussian Blue, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting287.png,https://www.youtube.com/embed/loAzRUzx1wI,
7,Autumn Mountain,1,7,1983-02-15,"Deciduous, Lake, Mountain, Mountains, Snowy_Mountain, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting288.png,https://www.youtube.com/embed/sDdpc8uisD0,
8,Peaceful Valley,1,8,1983-02-22,"Bushes, Conifer, Lake, Mountain, Mountains, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting289.png,https://www.youtube.com/embed/kQlFwTOkYzg,
9,Seascape,1,9,1983-03-01,"Beach, Clouds, Fence, Ocean","Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting290.png,https://www.youtube.com/embed/QxcS7p1VHyQ,
10,Mountain Lake,1,10,1983-03-08,"Bushes, Conifer, Deciduous, Lake, Mountain, Tree, Trees","Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown",https://www.twoinchbrush.com/images/painting291.png,https://www.youtube.com/embed/wDnLlywAL5I,
