id,title,season,episode,img_src,youtube_src,colors
1,A Walk in the Woods,1,1,https://www.twoinchbrush.com/images/painting282.png,https://www.youtube.com/embed/oh5p5f5_-7A,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown"
2,Mt. McKinley,1,2,https://www.twoinchbrush.com/images/painting283.png,https://www.youtube.com/embed/RInDWhYceLU,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown"
3,Ebony Sunset,1,3,https://www.twoinchbrush.com/images/painting284.png,https://www.youtube.com/embed/UOziR7PoVco,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown"
4,Winter Mist,1,4,https://www.twoinchbrush.com/images/painting285.png,https://www.youtube.com/embed/0pwoixRikn4,"Prussian Blue, Titanium White, Van Dyke Brown"
5,Quiet Stream,1,5,https://www.twoinchbrush.com/images/painting286.png,https://www.youtube.com/embed/DFSIQNjKRfk,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown"
6,Winter Moon,1,6,https://www.twoinchbrush.com/images/painting287.png,https://www.youtube.com/embed/loAzRUzx1wI,"Black Gesso, Prussian Blue, Titanium White, Van Dyke Brown"
7,Autumn Mountain,1,7,https://www.twoinchbrush.com/images/painting288.png,https://www.youtube.com/embed/sDdpc8uisD0,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown"
8,Peaceful Valley,1,8,https://www.twoinchbrush.com/images/painting289.png,https://www.youtube.com/embed/kQlFwTOkYzg,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown"
9,Seascape,1,9,https://www.twoinchbrush.com/images/painting290.png,https://www.youtube.com/embed/QxcS7p1VHyQ,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown"
10,Mountain Lake,1,10,https://www.twoinchbrush.com/images/painting291.png,https://www.youtube.com/embed/wDnLlywAL5I,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown"
11,Winter Glow,1,11,https://www.twoinchbrush.com/images/painting292.png,https://www.youtube.com/embed/Q03YvknOVe0,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown"
12,Snow Fall,1,12,https://www.twoinchbrush.com/images/painting293.png,https://www.youtube.com/embed/4E35-8x_y04,"Alizarin Crimson, Prussian Blue, Titanium White, Van Dyke Brown"
13,Final Reflections,1,13,https://www.twoinchbrush.com/images/painting294.png,https://www.youtube.com/embed/IEQWfszfRlA,"Alizarin Crimson, Bright Red, Cadmium Yellow, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown"
